index,amount,date,accountId,type
157,19,4/14/2020,6396307916638156,instapayment
158,34,11/22/2016,63044954412946976,maestro
159,5,4/8/2022,3562344106695907,jcb
160,33,5/8/2018,676151635289945047,maestro
161,60,2/10/2019,503828917713611745,maestro
162,20,8/18/2020,3537704954473016,jcb
163,90,2/12/2018,3552778473819180,jcb
164,81,10/25/2016,5010120895870221,mastercard
165,16,10/3/2020,490538343611469170,switch
166,7,5/7/2021,4026761246572738,visa-electron
167,95,10/26/2016,633377654749505589,switch
168,28,12/21/2020,4903477001324532,switch
169,37,7/9/2016,4911205686413241,switch
170,1,1/3/2021,30151353864098,diners-club-carte-blanche
171,9,7/28/2017,30118205400207,diners-club-carte-blanche
172,92,10/2/2022,6383231612647607,instapayment
173,36,8/17/2021,3569469043927239,jcb
174,35,6/10/2017,201452701683401,diners-club-enroute
175,73,5/18/2017,3563150513266813,jcb
176,50,1/5/2017,4508182904411506,visa-electron
177,15,1/11/2017,5020924559282345298,maestro
178,57,5/21/2017,3569113130496738,jcb
179,85,3/6/2020,3567900264039074,jcb
180,22,6/25/2022,4476251155006,visa
181,48,5/8/2016,6334099984273229009,solo
182,44,10/22/2021,3551928608995055,jcb
183,4,5/14/2020,4041378605638,visa
184,68,12/24/2019,6771526569849901797,laser
185,15,2/23/2020,5610043728944068,bankcard
186,96,8/13/2017,3586270589283451,jcb
187,80,8/1/2017,4017959788613,visa
188,14,12/10/2018,6378537895868356,instapayment
189,4,11/8/2021,4026388770006626,visa-electron
190,90,6/6/2020,5610452657273755,bankcard
191,42,5/11/2018,3567315573101939,jcb
192,94,4/8/2022,3530544214309460,jcb
193,43,3/2/2021,3538198276823124,jcb
194,27,1/17/2019,3588135331190312,jcb
195,79,2/12/2021,6767695567728032,solo
196,85,2/20/2021,3556757803008116,jcb
197,51,8/29/2019,5576721501863207,mastercard
198,76,7/19/2018,3559633747797212,jcb
199,11,4/24/2020,5108759950634965,mastercard
200,10,9/17/2021,3562472095768649,jcb
201,16,1/16/2018,6331106993103105039,switch
202,52,10/4/2022,3535191908539153,jcb
203,73,1/9/2021,5010128192013759,mastercard
204,96,5/3/2020,337941099728106,americanexpress
205,21,12/28/2020,5602255938403467,bankcard
206,72,10/13/2022,561060872414121194,china-unionpay
207,4,10/14/2017,3556239019777800,jcb
208,29,12/20/2019,3555567614329366,jcb
209,74,9/21/2020,3529430438037611,jcb
210,62,10/13/2018,5602235999444204,china-unionpay
211,34,1/23/2022,3570252668234751,jcb
212,42,12/19/2017,3575065344538758,jcb
213,92,1/12/2019,3575828419543551,jcb
214,83,1/15/2018,201916673101774,diners-club-enroute
215,48,3/18/2018,3531564301429699,jcb
216,81,9/11/2022,3561513832281478,jcb
217,7,7/24/2021,3560860603877963,jcb
218,63,11/4/2017,5007661034627803,mastercard
219,79,9/6/2017,560221116073550642,china-unionpay
220,64,12/20/2019,5188681852841394,mastercard
221,38,6/15/2021,3533252644447135,jcb
222,96,10/6/2020,5306659632831783,mastercard
223,24,4/24/2019,374622660013722,americanexpress
224,40,10/24/2016,5610628557843482177,china-unionpay
225,3,11/1/2020,4041379347763659,visa
226,18,12/29/2021,374622031672404,americanexpress
227,34,1/18/2017,3536971937709128,jcb
228,70,10/9/2018,3528065114501935,jcb
229,58,7/24/2019,6767773943475824,solo
230,69999,5/3/2020,30532174930814,diners-club-carte-blanche
231,69999,3/4/2021,3537200100544883,jcb
232,92,8/7/2019,5497026934347919,mastercard
233,79,11/9/2016,3543909002735082,jcb
234,32,5/27/2017,6387751301590590,instapayment
235,10,7/18/2018,5602246736283862,bankcard
236,17,8/16/2017,3586438822670616,jcb
237,59,2/21/2019,5018646095284690,maestro
238,23,12/29/2017,3540915025721614,jcb
239,48,2/4/2018,3558522224407406,jcb
240,79,9/14/2019,6381465077677228,instapayment
241,38,1/5/2022,5602249702310081,bankcard
242,45,6/13/2020,3577001768036142,jcb
243,28,10/1/2022,30463828988950,diners-club-carte-blanche
244,38,11/12/2021,6377424827919519,instapayment
245,93,10/8/2017,3576759338781585,jcb
246,91,9/23/2019,30395683378143,diners-club-carte-blanche
247,62,4/10/2017,5602252417273834,bankcard
248,5,3/13/2022,3548316208902554,jcb
249,97,12/2/2017,3585233262150919,jcb
250,27,4/4/2020,374622864713820,americanexpress
251,81,2/6/2018,3568081338386178,jcb
252,74,6/9/2017,3530438618396423,jcb
253,2,3/2/2021,3574158805932197,jcb
254,68,11/28/2016,201811411775684,diners-club-enroute
255,41,3/11/2022,5507133087587982,diners-club-us-ca
256,78,6/6/2020,3587720307977254,jcb
257,28,7/3/2020,3570918594864172,jcb
258,18,8/12/2018,5010123489494879,mastercard
259,31,4/14/2021,3550155603763459,jcb
260,5,9/30/2017,5301842746092048,mastercard
261,98,5/22/2022,4405983934355223,visa-electron
262,55,3/25/2018,560222201846720240,china-unionpay
263,60,1/31/2021,5641820650191797659,switch
264,91,7/1/2016,337941811429819,americanexpress
265,48,9/10/2021,341301980970156,americanexpress
266,31,3/16/2021,5010122655446325,mastercard
267,92,12/7/2018,56022282268209798,china-unionpay
268,73,11/30/2021,3568828426928299,jcb
269,68,7/29/2021,342725609114532,americanexpress
270,81,3/31/2019,5517575418108409,diners-club-us-ca
271,23,4/12/2020,3550027700663108,jcb
272,21,12/6/2016,372301534314648,americanexpress
273,95,12/18/2016,3551031927221020,jcb
274,32,3/17/2020,374622907381890,americanexpress
275,95,10/9/2017,5238280176392398,mastercard
276,51,9/28/2020,6331102196758321,switch
277,80,11/30/2020,3561606324161461,jcb
278,23,6/27/2021,56022341378582310,china-unionpay
279,99,5/11/2018,5602225040592242,china-unionpay
280,45,9/21/2022,630495162018443055,maestro
281,51,1/16/2018,4917805820708044,visa-electron
282,18,1/9/2018,6761189192480074,maestro
283,22,7/28/2020,3564655263354360,jcb
284,96,7/30/2021,67614225462913203,maestro
285,11,12/15/2018,3583657129120016,jcb
286,53,4/15/2022,3585682793531700,jcb
287,84,7/16/2016,3555391327891780,jcb
288,63,5/1/2021,3541932955874122,jcb
289,1,8/22/2021,4041590557773374,visa
290,79,5/15/2018,5010122644511049,mastercard
291,40,9/25/2016,5010124659693571,mastercard
292,18,3/3/2022,6759129943641482312,switch
293,9,4/30/2019,3547570756809204,jcb
294,99,5/11/2018,676729952792610296,solo
295,79,4/21/2020,3582192491450628,jcb
296,94,5/7/2020,5602220324951495,bankcard
297,7,7/25/2020,5201250268414064,mastercard
298,52,8/29/2018,4917805244721987,visa-electron
299,40,12/19/2019,490348994443779762,switch
300,14,10/23/2018,5610088862399702,bankcard
301,37,1/5/2020,30032113538661,diners-club-carte-blanche
302,88,5/18/2021,6759887229415674,switch
303,10,10/29/2021,670967264783344354,laser
304,91,2/26/2017,4844736347829401,visa-electron
305,14,10/23/2016,3555356971981724,jcb
306,54,10/19/2022,5602256864138895,bankcard
307,85,2/18/2018,5225710398824575,mastercard
308,81,7/17/2019,3554724854789558,jcb
309,27,4/16/2022,5602254821396995,bankcard
310,74,1/13/2017,675985472984644715,switch
311,92,9/22/2018,30503075853389,diners-club-carte-blanche
312,18,9/5/2022,5010120483580679,mastercard
313,73,5/1/2021,3569251650133834,jcb
314,29,11/8/2020,3561376491807185,jcb
315,81,2/24/2018,4026989909099190,visa-electron
316,36,5/4/2019,5412692089965797,mastercard
317,36,4/13/2018,3551669904578415,jcb
318,19,8/18/2021,6380945435512697,instapayment
319,16,3/5/2019,5108757657744921,mastercard
320,41,2/5/2018,3540074318754641,jcb
321,44,9/26/2017,3566385643746279,jcb
322,80,5/8/2019,3561088045543295,jcb
323,33,7/13/2017,3529628083423701,jcb
324,8,6/26/2016,676192640978965315,maestro
325,71,1/3/2020,491166903674232109,switch
326,73,11/27/2019,201533206607456,diners-club-enroute
327,96,1/15/2021,201579247342090,diners-club-enroute
328,65,1/23/2018,30441219108172,diners-club-carte-blanche
329,24,7/27/2019,4508813830933193,visa-electron
330,63,7/1/2018,3543857387524151,jcb
331,6,3/7/2018,6763050603207514,maestro
332,91,6/2/2020,3561581434661215,jcb
333,62,12/22/2019,5010129194915975,mastercard
334,83,8/18/2019,3580997823656086,jcb
335,11,12/22/2020,6374551814194152,instapayment
336,3,9/16/2022,3549345435977492,jcb
337,72,8/8/2019,5602238358749015,bankcard
338,48,12/15/2016,5100136214602005,mastercard
339,94,3/28/2018,4766634233855974,visa
340,81,3/17/2022,374622596039833,americanexpress
341,66,1/19/2021,633305924361395297,switch
342,64,3/11/2020,3560428399503647,jcb
343,23,8/15/2018,4175003489488507,visa-electron
344,37,7/22/2021,3566639154101930,jcb
345,34,12/3/2019,3579539475486124,jcb
346,33,5/21/2020,3552196023859715,jcb
347,27,8/26/2017,5447495275813964,mastercard
348,76,3/3/2018,374288086825956,americanexpress
349,22,8/1/2019,3588218113552212,jcb
350,16,9/8/2020,30038336079110,diners-club-carte-blanche
351,15,11/4/2020,3568627727726828,jcb
352,6,12/23/2016,6759926075826758060,maestro
353,23,11/14/2018,5010122554538057,mastercard
354,46,5/9/2021,3544128767185909,jcb
355,56,1/24/2017,67592072873355533,maestro
356,95,1/13/2019,493625440300279288,switch
357,69999,12/20/2020,201669528526386,diners-club-enroute
358,59,7/30/2019,3528978109955355,jcb
359,46,7/7/2016,5602221246605243,bankcard
360,33,7/1/2017,3559993944751259,jcb
361,3,4/30/2021,67623972435176736,maestro
362,14,8/1/2018,3584035561501465,jcb
363,72,5/6/2016,560225063180806523,china-unionpay
364,6,2/11/2019,5020484870654715360,maestro
365,82,6/15/2018,5602249177081688,bankcard
366,42,3/16/2021,5602222959688132817,china-unionpay
367,13,12/5/2019,3557580972278701,jcb
368,14,10/1/2020,201793506275335,diners-club-enroute
369,37,8/31/2021,4913184707403747,visa-electron
370,63,3/4/2018,670627118412046370,laser
371,8,5/22/2021,06043384361311412,maestro
372,71,9/4/2022,6374250598139521,instapayment
373,29,1/30/2022,5610397013616330,bankcard
374,85,11/6/2018,374288371501312,americanexpress
375,60,4/17/2017,67638228229061680,maestro
376,37,5/27/2021,3561642449925506,jcb
377,10,2/3/2017,6374375300369841,instapayment
378,28,5/6/2020,201471990908121,diners-club-enroute
379,8,10/30/2017,3550702368424064,jcb
380,74,5/4/2020,6763503822647128723,maestro
381,18,1/3/2017,4903051077230491,switch
382,51,9/10/2016,374283202562609,americanexpress
383,9,7/22/2020,3579753437728008,jcb
384,21,12/11/2016,30582247032023,diners-club-carte-blanche
385,99,9/10/2020,372301348499304,americanexpress
386,69999,9/26/2020,201957876068139,diners-club-enroute
387,41,2/23/2018,3581950828351335,jcb
388,46,9/28/2018,5048376059527074,mastercard
389,25,1/23/2018,3545177551425038,jcb
390,13,4/6/2020,3588235564749725,jcb
391,97,11/24/2021,3543133052118004,jcb
392,42,11/5/2016,3543412419552331,jcb
393,59,9/25/2018,060476787038815198,maestro
394,83,5/17/2017,56022338379405244,china-unionpay
395,4,12/16/2017,4903121904449657137,switch
396,99,8/11/2017,372301849396876,americanexpress
397,46,5/25/2020,3589772936559282,jcb
398,51,8/3/2022,3589443694157525,jcb
399,97,2/16/2018,5300188694177774,mastercard
400,36,9/10/2019,5100143892305240,mastercard
401,65,8/25/2021,3558147990897620,jcb
402,65,1/6/2018,6304792184949189942,maestro
403,38,6/24/2019,6706050870581435,laser
404,21,12/11/2021,3529305341874310,jcb
405,8,2/1/2019,30320736215613,diners-club-carte-blanche
406,73,7/7/2022,3575858124701814,jcb
407,93,7/29/2022,3544096644680949,jcb
408,60,12/16/2016,3585979704909433,jcb
409,93,4/9/2019,5007660287950185,mastercard
410,19,8/1/2017,3545303451009686,jcb
411,40,8/20/2019,5641822404051782,switch
412,18,11/30/2019,3546552521246806,jcb
413,35,8/13/2022,675918514225528579,maestro
414,36,2/6/2017,3576985923644926,jcb
415,56,7/3/2016,3575049965877422,jcb
416,13,8/28/2021,3545422029441450,jcb
417,31,5/16/2020,502056312478412007,maestro
418,14,11/29/2016,3531558443107528,jcb
419,28,3/7/2021,337941861803228,americanexpress
420,73,3/17/2022,67618233161675509,maestro
421,63,12/31/2019,3587134128254762,jcb
422,70,6/28/2016,58930595436170387,maestro
423,17,5/11/2021,3566012845695654,jcb
424,52,6/9/2021,5252327448077249,mastercard
425,54,5/15/2016,4508285146631409,visa-electron
426,55,7/5/2020,5010122872888994,mastercard
427,31,4/7/2020,63043621735803090,maestro
428,68,6/9/2016,6759821487542929,switch
429,85,6/28/2018,56022413385819884,china-unionpay
430,75,7/30/2021,3542723249607462,jcb
431,4,10/31/2022,3543972646704021,jcb
432,99,3/22/2022,3545027348870014,jcb
433,78,2/17/2018,633470389846316848,solo
434,91,4/28/2017,3586128101144462,jcb
435,51,5/6/2019,3576458648522108,jcb
436,59,1/22/2017,3578830219095375,jcb
437,25,2/3/2017,3542658220674364,jcb
438,65,7/3/2017,4903129171948401803,switch
439,96,8/3/2016,201766966821202,diners-club-enroute
440,65,3/6/2017,3571706727618493,jcb
441,84,10/31/2021,3535557310743718,jcb
442,88,12/2/2018,30503527913526,diners-club-carte-blanche
443,74,11/3/2016,493692909666635174,switch
444,65,8/31/2019,3535899581900597,jcb
445,46,8/20/2019,5610337720532260146,china-unionpay
446,88,8/14/2022,3569210089131884,jcb
447,57,1/14/2021,3538855536904198,jcb
448,82,9/18/2018,676391633053074292,maestro
449,81,12/17/2016,5020910850129740668,maestro
450,29,5/9/2019,3560081331709614,jcb
451,47,6/26/2019,201733812314717,diners-club-enroute
452,14,3/19/2020,3531541310581074,jcb
453,20,6/14/2020,4936388826504797,switch
454,22,8/16/2022,3584257335592055,jcb
455,46,3/11/2019,5018124856960983933,maestro
456,19,9/15/2018,6398265140598000,instapayment
457,75,4/26/2022,5378709337488539,mastercard
458,25,11/23/2018,5150550161646253,mastercard
459,81,5/9/2020,3539428639442034,jcb
460,79,7/26/2021,3529744932374555,jcb
461,81,2/9/2021,3566227616925433,jcb
462,15,6/5/2022,5007666398259028,mastercard
463,66,1/12/2022,201862661974915,diners-club-enroute
464,89,7/13/2019,5602224436927641,bankcard
465,58,8/5/2018,5048379585925788,mastercard
466,5,7/5/2017,675917783247933031,maestro
467,15,8/8/2017,3545503740066120,jcb
468,22,10/24/2020,5467071363834413,mastercard
469,6,10/2/2016,5561894054702697,mastercard
470,76,5/10/2021,3580926128453204,jcb
471,56,1/26/2017,201636713670261,diners-club-enroute
472,69999,5/25/2020,4368703872322,visa
473,63,11/28/2017,3530231469532653,jcb
474,53,11/3/2021,30508813735582,diners-club-carte-blanche
475,96,3/13/2021,30531249172105,diners-club-carte-blanche
476,35,8/26/2020,5893751397789469,maestro
477,100,7/15/2020,3546321931563592,jcb
478,37,1/6/2020,6771028552726658410,laser
479,40,9/24/2021,30493659662341,diners-club-carte-blanche
480,76,6/5/2022,3562383156984167,jcb
481,48,9/23/2018,3529990173085307,jcb
482,62,7/8/2022,3539725559254475,jcb
483,61,9/28/2016,3544730352179948,jcb
484,78,6/15/2022,3547401345796803,jcb
485,83,6/1/2021,201970743488422,diners-club-enroute
486,46,10/19/2021,3562901487194139,jcb
487,7,12/22/2019,5018098350892666685,maestro
488,63,6/26/2021,3558479366403125,jcb
489,11,7/27/2017,6762355445188296179,maestro
490,58,12/23/2019,3564807430771733,jcb
491,71,6/2/2022,6333812968753502,switch
492,67,7/14/2017,3536738140674633,jcb
493,85,7/9/2016,4917396756084519,visa-electron
494,49,8/22/2020,3558220071064970,jcb
495,42,8/25/2020,3562961299550795,jcb
496,12,3/24/2017,3528006686050901,jcb
497,11,12/4/2017,3541290647107769,jcb
498,47,11/21/2016,3573973580389483,jcb
499,32,5/19/2021,4903441220562223,switch
500,12,8/20/2018,3534760546082247,jcb
501,89,6/30/2019,3545479480149899,jcb
502,16,1/20/2021,3555599202137687,jcb
503,68,12/6/2021,3548756475568960,jcb
504,15,4/18/2018,201780291674053,diners-club-enroute
505,14,3/22/2017,5007660763051367,mastercard
506,42,7/4/2020,3542578568945244,jcb
507,56,9/2/2017,3548628356998030,jcb
508,57,5/3/2018,3543175250682273,jcb
509,96,6/14/2018,4911124488354995708,switch
510,2,10/20/2016,589360795715473485,maestro
511,28,6/12/2016,36211593572796,diners-club-international
512,9,4/28/2020,4041370866063,visa
513,83,10/17/2022,5010128708367038,mastercard
514,49,3/5/2017,5480112478851463,mastercard
515,27,12/23/2019,5100145201737476,mastercard
516,60,10/5/2019,5602256612488873,bankcard
517,9,12/16/2016,677137966188166063,laser
518,63,10/8/2019,5602223418107016,bankcard
519,29,5/29/2020,4017959436296,visa
520,89,9/17/2019,4911152562728792630,switch
521,43,8/5/2019,3532587063409491,jcb
522,15,7/20/2019,3583835494932799,jcb
523,81,5/10/2020,5002357572823939,mastercard
524,91,1/11/2019,6333666369250924019,switch
525,66,3/16/2020,3585922671689729,jcb
526,97,8/8/2022,560222523645942216,china-unionpay
527,37,2/10/2017,5495016572723994,mastercard
528,70,11/11/2019,5602234658755729,china-unionpay
529,58,8/23/2017,3536327090809819,jcb
530,74,4/19/2019,4026223894312347,visa-electron
531,56,10/21/2022,3565966274678187,jcb
532,23,6/15/2019,6372100444659408,instapayment
533,61,6/22/2016,30296080624230,diners-club-carte-blanche
534,27,11/12/2022,3567812577259507,jcb
535,30,4/9/2021,30128129555515,diners-club-carte-blanche
536,72,2/18/2022,5602217135876416,bankcard
537,43,3/15/2017,376251274091292,americanexpress
538,69999,12/14/2021,3542062736150243,jcb
539,80,6/16/2017,676716580016089891,solo
540,3,8/17/2020,5100140782472908,mastercard
541,12,11/10/2016,4905602907809517208,switch
542,55,1/15/2020,5641827955157326,switch
543,65,9/17/2018,4913621478366637,visa-electron
544,30,11/21/2017,6379325474941771,instapayment
545,44,11/5/2019,490501137962459704,switch
546,30,10/27/2020,3530350640129104,jcb
547,30,5/20/2020,4184185766894,visa
548,25,12/21/2017,6331108744612531076,switch
549,68,1/4/2020,3577904672188331,jcb
550,81,1/10/2021,3567869974635994,jcb
551,28,1/9/2020,3586121395197312,jcb
552,4,8/5/2016,375183668996524,americanexpress
553,97,4/28/2017,348935565131495,americanexpress
554,68,7/23/2018,4230955588396,visa
555,84,12/4/2017,5291643855497321,mastercard
556,55,1/7/2017,3533192296733988,jcb
557,56,7/16/2020,5020034295838480,maestro
558,69999,9/18/2018,670971233885860371,laser
559,88,8/14/2021,374283219379716,americanexpress
560,88,7/22/2016,3555132242331597,jcb
561,66,6/11/2019,201773398031574,diners-club-enroute
562,98,8/8/2017,6371370555382121,instapayment
563,1,4/6/2018,3562469302343257,jcb
564,98,7/6/2017,6383246069112186,instapayment
565,64,3/14/2019,5268928500388184,mastercard
566,57,10/7/2020,3536324950485863,jcb
567,94,6/21/2019,3575592583211276,jcb
568,55,6/9/2021,3582570146231974,jcb
569,61,10/26/2018,4905533643779570,switch
570,97,6/11/2020,3530654959199776,jcb
571,29,7/3/2017,5018650032559056463,maestro
572,56,10/25/2019,5100139682428077,mastercard
573,75,5/8/2022,50385977008988676,maestro
574,76,4/17/2018,5002358408990488,mastercard
575,80,2/23/2018,5602225370028522179,china-unionpay
576,7,5/4/2016,3528368163618869,jcb
577,95,8/28/2017,501836646245842932,maestro
578,33,10/28/2020,3547118884420021,jcb
579,12,12/24/2016,6304616682846667377,maestro
580,46,6/22/2019,633110920363423595,switch
581,30,6/26/2021,5602259799510030,bankcard
582,95,7/24/2022,3580504695868920,jcb
583,60,1/19/2019,3536692111185063,jcb
584,26,1/23/2021,3567066101671519,jcb
585,100,6/19/2022,201509152390784,diners-club-enroute
586,8,1/17/2022,3564903031990309,jcb
587,75,11/19/2020,3546378159113682,jcb
588,78,8/25/2022,3547340378801884,jcb
589,17,4/5/2020,201483009239323,diners-club-enroute
590,22,8/23/2022,372301913192664,americanexpress
591,70,7/28/2017,63047692831589848,laser
592,58,7/28/2016,4917331210012525,visa-electron
593,88,4/2/2020,5002354415168838,mastercard
594,4,1/22/2017,3589554576641640,jcb
595,24,7/7/2018,490389180827719828,switch
596,18,6/21/2016,50188251139305146,maestro
597,50,6/12/2020,3551717272469855,jcb
598,60,1/13/2017,201470200496737,diners-club-enroute
599,2,10/28/2018,5602216749034107,bankcard
600,89,7/18/2021,337941566295852,americanexpress
601,95,11/6/2022,56104089583471842,china-unionpay
602,5,5/31/2018,5602226439013910324,china-unionpay
603,71,11/4/2018,5360145142042163,mastercard
604,22,5/22/2019,3552182219748706,jcb
605,71,7/27/2022,4041374527125,visa
606,43,8/18/2020,30082854198928,diners-club-carte-blanche
607,76,3/16/2018,3561960690575949,jcb
608,95,11/23/2018,4911994174656540,switch
609,90,3/6/2021,3583846873969237,jcb
610,70,4/5/2018,5100130273937279,mastercard
